全国 358 家 5A 级旅游景区完整可复制版
北京市（9 家）
白洋淀景区 | 河北省保定市安新县 | 华北平原最大的淡水湖泊，以芦苇荡、荷花淀为核心景观，红色经典《小兵张嘎》故事发生地
野三坡景区 | 河北省保定市涞水县三坡镇 | 世界地质公园，以百里峡喀斯特峡谷、拒马河风光为核心，集雄山碧水、奇峡怪泉于一体
西柏坡景区 | 河北省石家庄市平山县西柏坡镇 | 革命圣地，中共七届二中全会召开地，“进京赶考” 出发地，全国著名红色旅游景区
清东陵景区 | 河北省唐山市遵化市马兰峪镇 | 中国现存规模最宏大、体系最完整的帝王陵墓建筑群，世界文化遗产，安葬顺治、康熙、乾隆等 5 位皇帝
娲皇宫景区 | 河北省邯郸市涉县索堡镇 | 中国现存规模最大、创建时间最早的女娲祭祀地，以悬空式建筑和北齐摩崖刻经闻名，被誉为 “华夏祖庙”
广府古城景区 | 河北省邯郸市永年区广府镇 | 明清古城，北方罕见的水城格局，杨式、武式太极拳的发源地，有 “中国太极之乡” 之称
金山岭长城景区 | 河北省承德市滦平县巴克什营镇 | 明长城精华段，由戚继光主持修建，以障墙、挡马墙、瞭望楼等军事设施完备著称，被誉为 “万里长城，金山独秀”
南湖・开滦旅游景区 | 河北省唐山市路南区 | 由开滦国家矿山公园和唐山南湖旅游景区组成，展现中国近代工业文明与城市生态修复的典范
清西陵景区 | 河北省保定市易县梁格庄镇 | 清代皇家陵寝，世界文化遗产，安葬雍正、嘉庆、道光、光绪 4 位皇帝，古建筑群保存完整
白石山景区 | 河北省保定市涞源县 | 以大理岩峰林地貌为核心，被誉为 “北方小黄山”，拥有国内最长最宽的悬空玻璃栈道
衡水湖旅游景区 | 河北省衡水市桃城区 | 华北平原唯一保持完整的内陆淡水湿地生态系统，国家级自然保护区，以湿地风光、鸟类观赏为核心
山西省（12 家）
云冈石窟景区 | 山西省大同市云冈区 | 北魏时期皇家石窟寺，中国四大石窟之一，世界文化遗产，现存 252 个洞窟、5.1 万余尊造像，佛教艺术巅峰之作
五台山风景名胜区 | 山西省忻州市五台县台怀镇 | 中国佛教四大名山之一，文殊菩萨道场，世界文化遗产，现存 47 座寺庙，是中国唯一一个青庙黄庙共处的佛教道场
皇城相府生态文化旅游区 | 山西省晋城市阳城县北留镇 | 清代文渊阁大学士陈廷敬的故居，是一座集官宅、民居、祠堂、书院、防御工事于一体的明清城堡式建筑群
平遥古城景区 | 山西省晋中市平遥县 | 中国保存最完整的四大古城之一，世界文化遗产，明清时期晋商文化发源地，中国古代县城的活标本
黄河壶口瀑布旅游区（山西・陕西共有）| 山西省临汾市吉县 / 陕西省延安市宜川县 | 中国第二大瀑布，黄河上唯一的黄色大瀑布，以 “千里黄河一壶收” 的磅礴气势闻名，世界最大的黄色瀑布
雁门关景区 | 山西省忻州市代县雁门关镇 | 中华第一关，古代北方重要的边防要塞，是长城上的重要关隘，见证了无数历史战役
洪洞大槐树寻根祭祖园旅游景区 | 山西省临汾市洪洞县 | 明代大规模官方移民的始发地，全球华人寻根祭祖圣地，以 “大槐树” 文化为核心
绵山风景区 | 山西省晋中市介休市绵山镇 | 清明（寒食）节发源地，以奇险的自然风光和深厚的人文底蕴著称，拥有悬空寺庙群、龙头寺等核心景观
乔家大院景区 | 山西省晋中市祁县东观镇 | 清代晋商乔氏家族的宅院，北方民居建筑的典范，以布局严谨、雕刻精美著称，因《大红灯笼高高挂》闻名全国
太行大峡谷八泉峡景区 | 山西省长治市壶关县 | 太行山水精华，以雄、奇、险、秀、幽、奥著称，集峡谷、瀑布、溶洞、湖泊于一体，被誉为 “太行第一雄峡”
云丘山景区 | 山西省临汾市乡宁县 | 晋南根祖文化核心地，道教名山，拥有罕见的冰洞群和千年古村落，是中和文化的发源地
晋祠天龙山景区 | 山西省太原市晋源区 | 晋祠是中国现存最早的皇家祭祀园林，以宋代彩塑、周柏、难老泉 “晋祠三绝” 闻名；天龙山以石窟艺术和生态景观著称
内蒙古自治区（8 家）
响沙湾旅游景区 | 内蒙古自治区鄂尔多斯市达拉特旗 | 中国首家沙漠度假地，库布齐沙漠东端，以沙漠观光、休闲娱乐为核心，拥有滑沙、沙漠越野等特色体验
成吉思汗陵旅游区 | 内蒙古自治区鄂尔多斯市伊金霍洛旗 | 一代天骄成吉思汗的衣冠冢，蒙古民族的圣地，集中展现蒙古民族历史文化与民俗风情
中俄边境旅游区 | 内蒙古自治区呼伦贝尔市满洲里市 | 由国门景区和套娃景区组成，展现中俄边境文化，是中国最大的陆路口岸，充满异域风情
阿尔山・柴河旅游景区 | 内蒙古自治区兴安盟阿尔山市 | 集火山、森林、草原、温泉、湖泊于一体，拥有世界罕见的火山天池群，被誉为 “中国小瑞士”
阿斯哈图石阵旅游区 | 内蒙古自治区赤峰市克什克腾旗 | 世界地质公园，冰川石林地貌，被誉为 “中国北石林”，石林造型奇特，四季风光各异
克什克腾石阵旅游区 | 内蒙古自治区赤峰市克什克腾旗 | 同阿斯哈图石阵，以第四纪冰川遗迹为核心，是世界上罕见的花岗岩石林地貌景观
额济纳胡杨林旅游区 | 内蒙古自治区阿拉善盟额济纳旗 | 中国三大胡杨林之一，拥有世界上仅存的三大胡杨林区之一，秋季金黄胡杨与沙漠、戈壁相映，景观震撼
老牛湾黄河大峡谷旅游区 | 内蒙古自治区呼和浩特市清水河县 | 黄河与长城唯一的交汇之处，晋蒙大峡谷核心段，以黄河峡谷风光、古村落、长城遗址为核心
辽宁省（7 家）
沈阳故宫博物院 | 辽宁省沈阳市沈河区沈阳路 171 号 | 清代初期的皇家宫殿，清太祖努尔哈赤、清太宗皇太极建造的皇宫，世界文化遗产，满族宫廷建筑特色鲜明
大连老虎滩海洋公园・老虎滩极地馆 | 辽宁省大连市中山区滨海中路 9 号 | 中国知名海洋主题公园，拥有亚洲最大的珊瑚馆、世界最大的极地海洋动物馆，集海洋观光、动物表演、科普教育于一体
大连金石滩景区 | 辽宁省大连市金州区 | 世界地质公园，以独特的海蚀地貌、滨海地质景观闻名，被誉为 “海上石林”“神力雕塑公园”
本溪水洞景区 | 辽宁省本溪市本溪满族自治县小市镇 | 世界上最长的可乘船游览的地下暗河溶洞，数百万年形成的钟乳石景观奇特，被誉为 “北国一宝”
鞍山千山景区 | 辽宁省鞍山市铁东区 |“东北明珠”，长白山支脉，拥有近千座山峰，是东北著名的佛教、道教圣地，自然与人文景观兼备
盘锦红海滩风景廊道景区 | 辽宁省盘锦市大洼区 | 世界罕见的湿地景观，以碱蓬草形成的 “红色海岸线” 为核心，是丹顶鹤、黑嘴鸥等珍稀鸟类的栖息地
丹东鸭绿江断桥景区 | 辽宁省丹东市振兴区江岸路 | 抗美援朝战争的历史见证，鸭绿江上第一座大桥，断桥遗址承载着重要的红色历史记忆
吉林省（9 家）
长白山景区 | 吉林省延边朝鲜族自治州安图县 / 白山市抚松县 | 中朝界山，欧亚大陆东缘最高山系，以火山天池、瀑布、温泉、地下森林为核心，世界自然遗产，被誉为 “关东第一山”
长春伪满皇宫博物院 | 吉林省长春市宽城区光复北路 | 清朝末代皇帝溥仪充当伪满洲国傀儡皇帝时的宫殿，是中国现存三大宫廷遗址之一，日本侵华战争的重要历史见证
长春净月潭景区 | 吉林省长春市南关区净月大街 | 亚洲最大的人工林海，森林覆盖率达 96%，被誉为 “城市氧吧”，是长春的城市绿肺
长春长影世纪城旅游区 | 吉林省长春市南关区永顺路 | 中国首家电影主题游乐园，被誉为 “东方好莱坞”，集电影特效、娱乐体验、影视文化于一体
敦化六鼎山文化旅游区 | 吉林省延边朝鲜族自治州敦化市 | 以渤海国古墓群、正觉寺、金鼎大佛为核心，是东北著名的佛教文化旅游胜地
通化高句丽文物古迹旅游景区 | 吉林省通化市集安市 | 世界文化遗产，高句丽王朝的都城遗址与王陵，包括丸都山城、国内城、洞沟古墓群等，见证了高句丽 700 年的历史
延吉市帽儿山国家森林公园 | 吉林省延边朝鲜族自治州延吉市 | 延吉市地标，以山地森林景观为核心，可俯瞰延吉全城，充满朝鲜族民俗风情
大安嫩江湾旅游区 | 吉林省白城市大安市 | 嫩江湿地核心区，集湿地、湖泊、草原、历史文化于一体，是松嫩平原上的生态明珠
吉林市北大湖滑雪度假区 | 吉林省吉林市永吉县 | 亚洲知名滑雪度假区，中国滑雪竞技训练基地，雪道资源丰富，被誉为 “滑雪天堂”
黑龙江省（7 家）
哈尔滨太阳岛景区 | 黑龙江省哈尔滨市松北区警备路 | 松花江中的江心岛屿，哈尔滨城市名片，以冰雪大世界、太阳石、松鼠岛为核心，是著名的避暑、冰雪旅游胜地
黑河五大连池景区 | 黑龙江省黑河市五大连池市 | 世界地质公园，火山喷发形成的五个相连火山堰塞湖，拥有世界罕见的火山地貌和冷矿泉，被誉为 “天然火山博物馆”
牡丹江镜泊湖景区 | 黑龙江省牡丹江市宁安市 | 中国最大、世界第二大高山堰塞湖，以吊水楼瀑布、火山口地下森林为核心，国家级风景名胜区
伊春汤旺河林海奇石景区 | 黑龙江省伊春市汤旺县 | 世界地质公园，以红松原始林和花岗岩石林地貌为核心，被誉为 “兴安岭石林”，是小兴安岭的生态精华
大兴安岭北极村旅游区 | 黑龙江省大兴安岭地区漠河市 | 中国最北端的村镇，是中国唯一可观赏到北极光的地方，拥有 “神州北极” 之称，以极昼极夜、冰雪风光闻名
齐齐哈尔扎龙生态旅游区 | 黑龙江省齐齐哈尔市铁锋区 | 世界最大的芦苇湿地，丹顶鹤的故乡，国家级自然保护区，是中国重要的珍稀水禽繁育基地
虎林市虎头旅游景区 | 黑龙江省鸡西市虎林市 | 第二次世界大战终结地，拥有虎头要塞遗址、乌苏里江风光、珍宝岛湿地等，是重要的红色旅游景区
上海市（5 家）
东方明珠广播电视塔 | 上海市浦东新区世纪大道 1 号 | 上海地标性建筑，亚洲第六、世界第九高塔，集都市观光、餐饮娱乐、广播电视发射于一体，可俯瞰上海全城
上海野生动物园 | 上海市浦东新区南六公路 178 号 | 中国首座国家级野生动物园，汇集了世界各地珍稀野生动物 200 余种，集动物饲养、展览、科普、繁育于一体
上海科技馆 | 上海市浦东新区世纪大道 2000 号 | 中国顶尖的综合性科技馆，以 “自然・人・科技” 为主题，集科普教育、科技展示、休闲旅游于一体
上海迪士尼度假区 | 上海市浦东新区川沙新镇 | 中国内地首座迪士尼主题乐园，拥有七大主题园区、两座主题酒店，是全球知名的家庭旅游目的地
中共一大・二大・四大纪念馆景区 | 上海市黄浦区 / 静安区 / 虹口区 | 中国共产党重要历史会议的旧址纪念馆，全国著名红色旅游景区，见证了中国共产党的诞生与发展
江苏省（26 家，全国数量第一）
苏州园林（拙政园、虎丘、留园）| 江苏省苏州市姑苏区 | 江南园林的巅峰之作，世界文化遗产，拙政园是中国四大名园之一，留园以建筑布局精巧著称，虎丘被誉为 “吴中第一名胜”
周庄古镇景区 | 江苏省苏州市昆山市周庄镇 |“中国第一水乡”，江南六大古镇之首，保存了完整的明清建筑风貌，以小桥流水人家的水乡格局闻名
同里古镇景区 | 江苏省苏州市吴江区同里镇 | 江南六大古镇之一，以 “醇正水乡，旧时江南” 为特色，拥有退思园等世界文化遗产景点
金鸡湖景区 | 江苏省苏州市工业园区 | 中国最大的城市湖泊公园，现代商务旅游典范，集休闲观光、商务会展、时尚娱乐于一体
吴中太湖旅游区 | 江苏省苏州市吴中区 | 以太湖风光为核心，包含穹窿山、旺山、东山三大景区，集中展现了吴文化、太湖生态与江南田园风光
沙家浜・虞山尚湖旅游区 | 江苏省苏州市常熟市 | 沙家浜以红色教育、湿地风光闻名，虞山尚湖以山水景观、吴文化为核心，是江南山水文化的典范
无锡灵山大佛景区 | 江苏省无锡市滨湖区马山街道 | 世界最高的释迦牟尼露天青铜立像，以佛教文化为核心，拥有梵宫、九龙灌浴等标志性景观
无锡鼋头渚景区 | 江苏省无锡市滨湖区鼋渚路 1 号 |“太湖第一名胜”，世界三大赏樱胜地之一，以太湖山水、樱花景观闻名
中央电视台无锡影视基地三国水浒景区 | 江苏省无锡市滨湖区 | 中国首家以影视文化与旅游相结合的主题景区，《三国演义》《水浒传》的拍摄地，还原了宋代、三国时期的建筑风貌
常州环球恐龙城休闲旅游区 | 江苏省常州市新北区 | 以恐龙文化为核心的大型主题乐园，集主题游乐、科普教育、休闲度假于一体，被誉为 “东方侏罗纪”
常州天目湖景区 | 江苏省常州市溧阳市 | 以山水风光、温泉度假为核心，拥有天目湖山水园、南山竹海两大核心景区，是长三角知名的休闲度假胜地
常州中国春秋淹城旅游区 | 江苏省常州市武进区 | 以春秋淹城遗址为核心，是中国目前保存最完整的春秋时期地面城池遗址，集遗址观光、主题游乐、文化体验于一体
南京夫子庙 - 秦淮风光带景区 | 江苏省南京市秦淮区 | 南京城市文化地标，以夫子庙古建筑群为核心，十里秦淮为轴线，集旅游观光、美食购物、民俗文化于一体
南京钟山 - 中山陵园风景区 | 江苏省南京市玄武区石象路 7 号 | 南京城市绿肺，核心包含中山陵、明孝陵（世界文化遗产）、美龄宫、灵谷寺等，集自然风光与历史文化于一体
南京总统府景区 | 江苏省南京市玄武区长江路 292 号 | 中华民国总统府旧址，是中国近代历史的重要见证，拥有 600 多年的历史，是中国近代史博物馆
扬州瘦西湖风景区 | 江苏省扬州市邗江区大虹桥路 28 号 | 扬州城市名片，世界文化遗产大运河的核心组成部分，以湖上园林风光闻名，被誉为 “两岸花柳全依水，一路楼台直到山”
扬州个园景区 | 江苏省扬州市广陵区盐阜东路 | 中国四大名园之一，以竹石景观为特色，四季假山闻名全国，是扬州盐商园林的典范
镇江三山风景名胜区（金山・焦山・北固山）| 江苏省镇江市润州区 | 由金山、焦山、北固山三座临江山峰组成，以 “京口三山” 闻名，是长江沿线著名的山水人文景区
镇江句容茅山景区 | 江苏省镇江市句容市茅山镇 | 中国道教名山，道教上清派的发源地，被誉为 “第一福地，第八洞天”，是道教圣地与红色旅游景区
泰州溱湖旅游景区 | 江苏省泰州市姜堰区溱潼镇 | 以溱湖国家湿地公园为核心，是里下河地区的湿地生态典范，以溱潼会船民俗闻名
南通濠河风景区 | 江苏省南通市崇川区 | 国内保存最为完整的古护城河之一，环绕南通老城区，形如葫芦，被誉为 “江城翡翠项链”
连云港花果山景区 | 江苏省连云港市海州区郁林路 5 号 | 古典名著《西游记》的发源地，孙悟空的故乡，以水帘洞、玉女峰为核心，玉女峰是江苏省最高峰
徐州云龙湖景区 | 江苏省徐州市泉山区 | 徐州城市名片，中国最大的城中湖之一，以云龙山水风光为核心，集休闲观光、生态科普于一体
盐城大丰中华麋鹿园景区 | 江苏省盐城市大丰区 | 世界上最大的麋鹿自然保护区，拥有世界最大的麋鹿野生种群，是国家级自然保护区
淮安周恩来故里旅游景区 | 江苏省淮安市淮安区 | 一代伟人周恩来的诞生地与故居，包含周恩来纪念馆、周恩来故居、驸马巷等，是全国著名红色旅游景区
浙江省（22 家）
杭州西湖风景名胜区 | 浙江省杭州市西湖区龙井路 1 号 | 中国唯一的湖泊类世界文化遗产，“三面云山一面城” 的独特格局，拥有西湖十景，四季风光各异，是杭州的城市灵魂
杭州西溪湿地旅游区 | 浙江省杭州市西湖区天目山路 | 中国首个国家湿地公园，被誉为 “城市之肾”，以湿地生态、水乡民俗为核心，集生态观光、休闲度假于一体
千岛湖风景区 | 浙江省杭州市淳安县千岛湖镇 | 世界上岛屿最多的湖泊，拥有 1078 个岛屿，以 “天下第一秀水” 闻名，是长三角知名的休闲度假胜地
乌镇古镇旅游区 | 浙江省嘉兴市桐乡市乌镇镇 | 江南六大古镇之一，中国最后的枕水人家，东栅以民俗文化为主，西栅以夜景、休闲度假闻名，是世界互联网大会永久举办地
嘉兴南湖旅游区 | 浙江省嘉兴市南湖区 | 中国共产党诞生地，中共一大召开地，全国著名红色旅游景区，以红船精神为核心，兼具江南湖泊风光
西塘古镇旅游景区 | 浙江省嘉兴市嘉善县西塘镇 | 江南六大古镇之一，以 “桥多、弄多、廊棚多” 为特色，保存了完整的明清水乡风貌，被誉为 “生活着的千年古镇”
横店影视城景区 | 浙江省金华市东阳市横店镇 | 全球规模最大的影视拍摄基地，被誉为 “中国好莱坞”，拥有秦王宫、明清宫苑等 13 个大型影视拍摄基地
金华市双龙风景旅游区 | 浙江省金华市婺城区罗店镇 | 国家级风景名胜区，以双龙洞、冰壶洞等溶洞景观为核心，叶圣陶《记金华的双龙洞》原型地，是浙中知名的避暑胜地
雁荡山风景名胜区 | 浙江省温州市乐清市 |“东南第一山”，世界地质公园，以奇峰怪石、飞瀑流泉、古洞畸穴闻名，灵峰夜景、灵岩飞渡被誉为 “雁荡二绝”
刘伯温故里景区 | 浙江省温州市文成县 | 以明代开国元勋刘伯温的生平文化为核心，包含刘基庙、百丈漈瀑布两大核心景区，集人文历史与山水风光于一体
天台山景区 | 浙江省台州市天台县 | 中国佛教天台宗的发源地，国家级风景名胜区，以石梁飞瀑、国清寺为核心，是浙东唐诗之路的目的地
神仙居景区 | 浙江省台州市仙居县 | 世界地质公园，以独特的流纹岩火山地貌闻名，奇峰、云海、飞瀑、悬空栈道为核心特色，被誉为 “神仙居住的地方”
台州府城文化旅游区 | 浙江省台州市临海市 | 千年台州府城，拥有保存完整的台州府城墙、紫阳古街，是江南地区保存最完整的府城之一
南浔古镇景区 | 浙江省湖州市南浔区 | 江南六大古镇之一，以中西合璧的园林宅院闻名，是明清时期江南蚕丝业的中心，被誉为 “中国江南的封面”
莫干山景区 | 浙江省湖州市德清县 | 中国四大避暑胜地之一，以竹海、别墅群闻名，拥有 200 多栋民国时期的异国别墅，被誉为 “世界建筑博物馆”
鲁迅故里・沈园景区 | 浙江省绍兴市越城区 | 鲁迅故里包含鲁迅故居、三味书屋、百草园等，是鲁迅生平的重要见证；沈园是南宋著名园林，以陆游与唐琬的爱情故事闻名
天一阁・月湖景区 | 浙江省宁波市海曙区 | 天一阁是中国现存最古老的私家藏书楼，世界最早的三大家族图书馆之一；月湖是宁波的城市文化地标，唐宋以来的文人聚集地
溪口 - 滕头旅游景区 | 浙江省宁波市奉化区 | 溪口是蒋介石、蒋经国父子的故里，拥有雪窦山、蒋氏故居；滕头村是全球生态 500 佳，以生态农业、乡村旅游闻名
普陀山风景名胜区 | 浙江省舟山市普陀区 | 中国佛教四大名山之一，观音菩萨的道场，被誉为 “海天佛国”，是中国唯一的海岛佛教名山，拥有普济寺、法雨寺、慧济寺三大寺
缙云仙都景区 | 浙江省丽水市缙云县 | 世界地质公园，以鼎湖峰为核心，九曲练溪、十里画廊，是《仙剑奇侠传》等众多影视剧的取景地，被誉为 “天下第一笋”
云和梯田景区 | 浙江省丽水市云和县崇头镇 | 中国最美梯田之一，华东地区最大的梯田群，拥有千年历史，集梯田景观、云海、山村、竹海于一体
江郎山・廿八都旅游区 | 浙江省衢州市江山市 | 江郎山是世界自然遗产中国丹霞的组成部分，以 “三爿石” 丹霞奇观闻名；廿八都古镇是千年边关古镇，被誉为 “枫溪锁钥”
根宫佛国文化旅游区 | 浙江省衢州市开化县 | 以根雕艺术为核心，拥有世界上最大的根雕佛像群，被誉为 “天下第一奇园”，是中国根雕艺术的圣地
安徽省（13 家）
黄山风景区 | 安徽省黄山市黄山区汤口镇 |“天下第一奇山”，世界文化与自然双重遗产，世界地质公园，以奇松、怪石、云海、温泉、冬雪 “五绝” 闻名，被誉为 “五岳归来不看山，黄山归来不看岳”
九华山风景区 | 安徽省池州市青阳县九华镇 | 中国佛教四大名山之一，地藏菩萨的道场，世界地质公园，现存 99 座寺庙，是中国佛教文化的重要圣地
皖南古村落 - 西递・宏村 | 安徽省黄山市黟县 | 世界文化遗产，徽派古村落的典范，西递被誉为 “桃花源里人家”，宏村被誉为 “中国画里的乡村”，是徽文化的活化石
天柱山风景区 | 安徽省安庆市潜山市 |“江淮第一山”，世界地质公园，古称 “南岳”，以奇峰、怪石、幽洞、峡谷闻名，是皖文化的发源地
天堂寨旅游景区 | 安徽省六安市金寨县 / 湖北省黄冈市罗田县 | 大别山主峰之一，国家级自然保护区，以瀑布群、峡谷、原始森林为核心，被誉为 “华东最后一片原始森林”
绩溪龙川景区 | 安徽省宣城市绩溪县瀛洲镇 | 徽州古村落，胡氏家族聚居地，拥有胡氏宗祠、奕世尚书坊等徽派建筑精品，是徽文化的重要代表
颍上八里河景区 | 安徽省阜阳市颍上县八里河镇 | 皖北平原上的湿地生态景区，集湖泊风光、湿地生态、休闲度假于一体，被誉为 “皖北水乡”
三河古镇景区 | 安徽省合肥市肥西县三河镇 | 江淮地区保存最完整的千年古镇，以水乡古镇风貌、皖中民俗文化为特色，是庐剧的发源地
方特旅游区 | 安徽省芜湖市鸠江区 | 大型高科技主题乐园，以科幻体验、动漫文化为核心，是长三角知名的主题旅游目的地
古徽州文化旅游区 | 安徽省黄山市徽州区 / 歙县 | 世界文化遗产，由徽州古城、牌坊群・鲍家花园、唐模、潜口民宅、呈坎五大景区组成，集中展现了徽派文化的精髓
万佛湖景区 | 安徽省六安市舒城县万佛湖镇 | 皖西最大的湖泊，被誉为 “江淮明珠”，以湖泊风光、水利文化、休闲度假为核心
牯牛降景区 | 安徽省池州市石台县 / 黄山市祁门县 | 国家级自然保护区，被誉为 “华东动植物基因库”，以原始森林、峡谷、瀑布为核心，是皖南生态旅游胜地
马鞍山长江采石矶文化生态旅游区 | 安徽省马鞍山市雨山区采石街道 | 长江三大名矶之一，唐代大诗人李白的终老之地，以长江风光、诗仙文化为核心，集山水景观与历史文化于一体
福建省（12 家）
鼓浪屿风景名胜区 | 福建省厦门市思明区鼓浪屿街道 | 世界文化遗产，“万国建筑博览”“钢琴之岛”，拥有保存完整的近代异国建筑群，文艺气息浓厚，是厦门的城市名片
武夷山风景名胜区 | 福建省南平市武夷山市 | 世界文化与自然双重遗产，世界生物圈保护区，以丹霞地貌、九曲溪竹筏漂流闻名，是中国茶文化发源地、朱子理学的摇篮
福建土楼（永定・南靖）旅游景区 | 福建省龙岩市永定区 / 漳州市南靖县 | 世界文化遗产，世界上独一无二的山区民居建筑，以圆形土楼为核心，被誉为 “东方古城堡”
泰宁风景旅游区 | 福建省三明市泰宁县 | 世界自然遗产中国丹霞的组成部分，世界地质公园，以丹霞地貌、峡谷、湖泊为核心，被誉为 “天下第一湖山”
白水洋 - 鸳鸯溪旅游区 | 福建省宁德市屏南县 | 世界地质公园，白水洋拥有世界罕见的浅水广场，鸳鸯溪是中国鸳鸯之乡，集山水观光、休闲体验于一体
太姥山风景名胜区 | 福建省宁德市福鼎市太姥山镇 |“海上仙都”，世界地质公园，以花岗岩峰林、洞穴、海景闻名，是闽越文化的发源地
清源山风景名胜区 | 福建省泉州市丰泽区 | 泉州城市地标，国家级风景名胜区，以老君岩造像、清源洞为核心，是闽南宗教文化的重要圣地
三坊七巷历史文化街区 | 福建省福州市鼓楼区 | 福州城市文化地标，“中国城市里坊制度活化石”，保存了完整的明清古建筑群，是闽都文化的核心
古田旅游区 | 福建省龙岩市上杭县古田镇 | 古田会议旧址所在地，全国著名红色旅游景区，是中国工农红军发展史上的重要里程碑
冠豸山景区 | 福建省龙岩市连城县 | 国家级风景名胜区，以丹霞地貌为核心，与武夷山并称为 “北夷南豸，丹霞双绝”，集山水、书院、宗教文化于一体
湄洲岛妈祖文化旅游区 | 福建省莆田市秀屿区湄洲镇 | 妈祖文化的发源地，妈祖故里，全球妈祖信众的朝圣圣地，拥有湄洲妈祖祖庙，是世界非物质文化遗产妈祖信俗的核心地
平潭坛南湾 - 海坛古城旅游区 | 福建省平潭综合实验区 | 平潭国际旅游岛核心景区，坛南湾以 “蓝眼泪” 奇观、滨海风光闻名，海坛古城集中展现了闽台海洋文化
江西省（15 家）
庐山风景名胜区 | 江西省九江市庐山市 | 世界文化景观遗产，国家级风景名胜区，“匡庐奇秀甲天下”，以瀑布、云海、别墅群闻名，是中国近代政治历史的重要见证地
井冈山风景旅游区 | 江西省吉安市井冈山市 | 中国革命的摇篮，全国著名红色旅游景区，国家级风景名胜区，集红色文化、高山自然风光、杜鹃花海于一体
三清山风景名胜区 | 江西省上饶市玉山县 / 德兴市 | 世界自然遗产，世界地质公园，以独特的花岗岩峰林地貌闻名，被誉为 “西太平洋边缘最美丽的花岗岩”，“三清天下秀”
龙虎山风景名胜区 | 江西省鹰潭市贵溪市 | 世界自然遗产中国丹霞的组成部分，世界地质公园，中国道教发祥地，正一道的祖庭，以丹霞地貌、道教文化、悬棺奇观闻名
婺源江湾景区 | 江西省上饶市婺源县江湾镇 |“中国最美乡村” 婺源的核心景区，徽派古村落，保存了完整的明清徽派建筑群，是徽州文化的重要代表
景德镇古窑民俗博览区 | 江西省景德镇市昌江区 |“瓷都” 景德镇的核心文化景区，是中国唯一一家以陶瓷文化为主题的 5A 级景区，集中展现了中国千年陶瓷烧制技艺
滕王阁旅游区 | 江西省南昌市东湖区沿江路 |“江南三大名楼” 之首，因王勃《滕王阁序》闻名天下，是南昌的城市文化地标，见证了赣鄱文化的千年传承
武功山景区 | 江西省萍乡市芦溪县 / 吉安市安福县 | 国家级风景名胜区，以高山草甸、云海、日出闻名，是中国知名的户外徒步胜地，被誉为 “云中草原，户外天堂”
明月山旅游区 | 江西省宜春市袁州区 | 国家级风景名胜区，以温泉、竹海、瀑布为核心，是中国温泉之乡，月亮文化的发源地
瑞金共和国摇篮旅游区 | 江西省赣州市瑞金市 | 中华苏维埃共和国临时中央政府所在地，红色故都，全国著名红色旅游景区，是中国革命的重要发源地
